"name","desc","id","category","sub_category","tags","logo","detail.welcome","detail.prop","detail.gptlink"
"Typeframes - Video Creation","Create videos for you","MTczMTI3MTAxNzU3MmYyNTEx",,,,"https://files.oaiusercontent.com/file-1gnO13g9e3eElqWUtELpQvhq?se=2123-10-17T13%3A00%3A46Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dlogo_square_439.jpg&sig=aEyU%2BrI8kzHCc1P%2B8VASAZ45nNBGJclrhRNX8oxJYm0%3D","Hello","I want to create a video from TEXT,I want to create a video from my website URL,Directly generate a video saying ""Introducing Typeframes, the cool tool to create product video in seconds"",I want to create video about taplio.com","https://chat.openai.com/g/g-vPFqv6NDp"
"DALL·E","Let me turn your imagination into imagery","NTMwNzBhMjcyNDU5MTMwMzE0",,,,"https://files.oaiusercontent.com/file-SxYQO0Fq1ZkPagkFtg67DRVb?se=2123-10-12T23%3A57%3A32Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dagent_3.webp&sig=pLlQh8oUktqQzhM09SDDxn5aakqFuM2FAPptuA0mbqc%3D","Hello","","https://chat.openai.com/g/g-2fkFE8rbu"
"WebPilot","Browse Webpage/PDF/Data. Chat & Write with one/many/none URLs. WebPilot.ai Powered.","MTEyZjM2MjYwNjM0MzgxMDMy",,,,"https://files.oaiusercontent.com/file-mBN5IZoV9qWIesiiWuQLDh9n?se=2123-10-14T11%3A55%3A42Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D36x36.png&sig=4jYkWrl5ZwFPF/8h4jGSYnnBoUCl4n61Th9AhGqRaB4%3D","Hello","How to add WebPilot to my GPTs?,Hacker's news today","https://chat.openai.com/g/g-pNWGgUYqS"
"CollabGPTs","Assists with crafting and sending  B2B marketing emails.","MTk1NDE4MjYxODEwNTI1MjMx",,,,"https://files.oaiusercontent.com/file-tWySaqCqOf6LYZuEvSPKOOmL?se=2123-10-24T07%3A55%3A49Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D9a332dd8-0307-4cbc-87ac-1c312ececfa9.png&sig=TYfTxolb9g9OSSRCOtTj5%2BpiZkQmzomjLXV0zJEABNM%3D","","How is this working?,Check my Email Template,Check Email Sending Status,Check my Profile","https://chat.openai.com/g/g-x5yGyq33P"
"科技文章翻译","将科技文章、论文翻译成简体中文。","MTQyMzA5MmEzNDJiMmIzNTBk",,,,"https://files.oaiusercontent.com/file-Ina0Askk2P0uWpfvMM01ZVl1?se=2123-10-17T07%3A23%3A49Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Dmain-thumb-pb-2723018-200-gumqtpknwmakrfjpztgvsxzeyekjzveo.jpeg&sig=clX3qgWTIeuj8bmjbNK9aaEpbuxpUVOAATMs8IM5hGI%3D","Hello","","https://chat.openai.com/g/g-uBhKUJJTl"
"AI Voice Generator","Say things with OpenAI text to speech.","MDA1OTUyMGExNTM3MTA1NjBm",,,,"https://files.oaiusercontent.com/file-SMUHFxIhCwXVejGAsHqkIB7x?se=2123-10-21T16%3A32%3A19Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3Daiv.jpg&sig=WVyWF75suUJ8cBZbA8dG1oomtcLmiu1VLx961VQyb40%3D","Hello","Give me a short meditation speaking as Shimmer.,Teach me something new using the voice of Fable.,Give me an inspirational quote from Onyx.,Search the web and tell me current news as Alloy.","https://chat.openai.com/g/g-a83ktVq7n"
"漂流瓶","我用 GPT 的力量帮助每一个人在大海里捞到属于 Ta 的瓶子，我还会把对的瓶子扔到对的人那里，时不时回来问下我是否有新的未读消息。","MGIxNjMzNTgyNzA1MjIyYzEw",,,,"https://files.oaiusercontent.com/file-KSHhfib4ltfPHPGVJsj0BeRS?se=2123-10-22T19%3A17%3A34Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D15ef1402-72ff-4f34-ab28-e77bd78290e9.png&sig=X7/FUErPaYgQiWWNcLXnxqxmRnLocHU1eTciLYiItDg%3D","Welcome to Drifting Bottle GPT! Ready to send a message?","我想扔瓶子,我想捡瓶子,我有新的未读消息吗？,我想要一些灵感","https://chat.openai.com/g/g-jwR9FdCMq"
"@levelsio","Talk with @levelsio on ChatGPT. Ask any question you want about building your own startup, digital nomading, remote work and whatever else you'd like to ask. Trained on all of my podcasts, interviews, blog posts and tweets!","MzAyNzIwMTQxOTI5MGMzNDAw",,,,"https://files.oaiusercontent.com/file-M25chuvAQvxTUe1blqqUxQOy?se=2123-10-22T15%3A30%3A37Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3D33YlXMBzhp_400x400%2520%25282%2529.jpeg&sig=2tOCTUSblblmuxOU6Hrg7WjtKOpBA5FmQFllgTEOy4g%3D","","How should I validate a startup with TikTok?,I want to go nomad, where should I go first?,Why should I deadlift 100kg? I don't want to exercise,Why make an AI app if OpenAI replaces it anyway?","https://chat.openai.com/g/g-QFAuxHmUa"
"PlaylistAI","I craft personalized Spotify playlists.","MmEwYTE5MDMzMDIwMzcxNDBh",,,,"https://files.oaiusercontent.com/file-5Ab8LhU6yUg8gB5XbdM8n4GW?se=2123-10-21T21%3A38%3A16Z&sp=r&sv=2021-08-06&sr=b&rscc=max-age%3D31536000%2C%20immutable&rscd=attachment%3B%20filename%3DSpotify.png&sig=b6%2BfHwahHWgnySjpFH%2B6EXexr7DFtscMcCbag/sHxHA%3D","Ready to create the perfect playlist?","Create a workout playlist,Add chill songs to my playlist,Make a playlist for a road trip,Remove sad songs from my playlist","https://chat.openai.com/g/g-KkxbQAVuk"
"MidJourney Prompt Generator","The most advanced MidJourney Prompt Generator","MmMzNDJiNTIxYjI5MGIxNzBm",,,,,"Hello","","https://chat.openai.com/g/g-MUJ3zHjvn"
